id,title,link,district,type,name,value,function,location
9080031178,Mainzer Straße (Kindl Boulevard) ,https://www.infravelo.de/projekt/mainzer-strasse-kindl-boulevard/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,
9080031179,Mainzer Straße 12/13,https://www.infravelo.de/projekt/mainzer-strasse-12-13/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5121892 13.4615739)
9080031180,Mainzer Straße 17,https://www.infravelo.de/projekt/mainzer-strasse-17/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5126333 13.4620804)
9080031181,Mainzer Straße 20,https://www.infravelo.de/projekt/mainzer-strasse-20/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5134557 13.4626371)
9080031182,Mainzer Straße 27,https://www.infravelo.de/projekt/mainzer-strasse-27/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4790129 13.4282407)
9080031183,Mainzer Straße 43/2,https://www.infravelo.de/projekt/mainzer-strasse-43-2/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5121892 13.4615739)
9080031558,Mainzer Straße 5,https://www.infravelo.de/projekt/mainzer-strasse-5/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.51383185 13.462430118383018)
9080031184,Mainzer Straße 7/8,https://www.infravelo.de/projekt/mainzer-strasse-7-8/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5121892 13.4615739)
9080031185,Mainzer Straße 9/10,https://www.infravelo.de/projekt/mainzer-strasse-9-10/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking,POINT (52.5121892 13.4615739)
9080031560,Malchiner Straße 73,https://www.infravelo.de/projekt/malchiner-strasse-73/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.44503985 13.453058668513453)
9080031559,Malchiner Straße 87,https://www.infravelo.de/projekt/malchiner-strasse-87/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.444614 13.452863800862069)
9030070003,Malmöer Str 28,https://www.infravelo.de/projekt/malmoeer-str-28/,Pankow,Anlehnbügel,Anzahl Stellplätze,16,parking,POINT (52.5514712 13.4037094)
9030069004,Mandelstraße  11,https://www.infravelo.de/projekt/mandelstrasse-11/,Pankow,Anlehnbügel,Anzahl Stellplätze,14,parking,POINT (52.5470537 13.4422836)
9080031561,Manitiusstraße 10,https://www.infravelo.de/projekt/manitiusstrasse-10/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4909567 13.4329879)
9080031186,Manitiusstraße 11,https://www.infravelo.de/projekt/manitiusstrasse-11/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4908781 13.433299)
9080031187,Manitiusstraße 15/16,https://www.infravelo.de/projekt/manitiusstrasse-15-16/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4910694 13.4330852)
9040028005,Mansfelderstr. 16,https://www.infravelo.de/projekt/mansfelderstr-16/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,34,parking,POINT (52.4887751 13.3122503)
9020051011,Manteuffelstraße  79,https://www.infravelo.de/projekt/manteuffelstrasse-79/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,18,parking,POINT (52.4977327 13.426536416017182)
