id,title,link,district,type,name,value,function
9030099033,Krügerstraße 17,https://www.infravelo.de/projekt/kruegerstrasse-17/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030099039,Krügerstraße 18,https://www.infravelo.de/projekt/dietzgenstrasse-96/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030082027,Krügerstraße 20,https://www.infravelo.de/projekt/kruegerstrasse-20/,Pankow,Anlehnbügel,Anzahl Stellplätze,24,parking
9030099038,Krügerstraße 20,https://www.infravelo.de/projekt/dietzgenstrasse-121/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030099036,Krügerstraße 5,https://www.infravelo.de/projekt/kruegerstrasse-5/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030099035,Krügerstraße 7,https://www.infravelo.de/projekt/kruegerstrasse-7/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
9030088002,Kuckhoffstraße 2,https://www.infravelo.de/projekt/kuckhoffstrasse-2/,Pankow,Anlehnbügel,Anzahl Stellplätze,20,parking
9030088001,Kuckhoffstraße 21,https://www.infravelo.de/projekt/kuckhoffstrasse-21/,Pankow,Anlehnbügel,Anzahl Stellplätze,124,parking
9030073008,Kuglerstr 20,https://www.infravelo.de/projekt/kuglerstr-20/,Pankow,Anlehnbügel,Anzahl Stellplätze,40,parking
9120045002,Kurzebracker Weg  40-46,https://www.infravelo.de/projekt/kurzebracker-weg-40-46/,Reinickendorf,Anlehnbügel,Anzahl Stellplätze,32,parking
9100063001,Kyritzer Straße 51,https://www.infravelo.de/projekt/kyritzer-strasse-51/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031548,Lahnstr. 78,https://www.infravelo.de/projekt/lahnstr-78/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9110084001,Landsberger Allee HST Schalkauer Str. ,https://www.infravelo.de/projekt/landsberger-allee-hst-schalkauer-str/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,10,parking
9020088022,Laskerstraße   6-8,https://www.infravelo.de/projekt/laskerstrasse-6-8/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,30,parking
9080031157,Laubestraße 13,https://www.infravelo.de/projekt/laubestrasse-13/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9030087007,Laudaer Straße 1,https://www.infravelo.de/projekt/laudaer-strasse-1/,Pankow,Anlehnbügel,Anzahl Stellplätze,16,parking
9030087008,Laudaer Straße 12,https://www.infravelo.de/projekt/laudaer-strasse-12/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking
