highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
primary,2.0,,70.0,,,B 96a,good,"LINESTRING (13.3650502 52.6471735, 13.3649392 52.6472406)"
secondary,3.0,yes,50.0,,,,good,"LINESTRING (13.3247697 52.5172519, 13.3245354 52.517045)"
secondary,2.0,,,,,L 400,good,"LINESTRING (13.5663657 52.3417315, 13.5664418 52.3416542, 13.5664588 52.341638, 13.5666704 52.3414369)"
secondary,,yes,30.0,,,,good,"LINESTRING (13.2912157 52.5810269, 13.2910187 52.5810205)"
secondary,2.0,,50.0,,,L 40,excellent,"LINESTRING (13.3149985 52.3531663, 13.3154254 52.3530385)"
secondary,,,80.0,,,L 77,,"LINESTRING (13.1483975 52.3364974, 13.148217 52.3363456)"
secondary,2.0,,50.0,,,L 40,excellent,"LINESTRING (13.3154254 52.3530385, 13.3156368 52.3529776)"
secondary,2.0,,70.0,,,L 77,,"LINESTRING (13.1452732 52.335136, 13.1451264 52.3351267, 13.1447859 52.3351068, 13.1444394 52.3350738, 13.1443332 52.3350477)"
secondary,2.0,,70.0,,,L 77,,"LINESTRING (13.1456709 52.3351687, 13.1452732 52.335136)"
secondary,2.0,,70.0,,,L 20,excellent,"LINESTRING (13.110478 52.5280064, 13.1104833 52.5281186)"
secondary,2.0,,50.0,,,L 292,good,"LINESTRING (13.7291301 52.6528745, 13.7290083 52.652686, 13.728923 52.6525631)"
primary,2.0,,100.0,,yes,L 76,,"LINESTRING (13.3604056 52.3708562, 13.3614179 52.370652)"
primary,2.0,,100.0,,yes,L 76,excellent,"LINESTRING (13.3926239 52.3674705, 13.3943878 52.3674407)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3133286 52.6347464, 13.3132866 52.6347477, 13.3132232 52.6347397, 13.3131667 52.6347205, 13.3131222 52.6346919)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3134713 52.6346942, 13.3134354 52.6347191, 13.3133974 52.6347342, 13.3133286 52.6347464)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3134001 52.6345021, 13.313432 52.6345171, 13.3134695 52.6345407, 13.313496 52.6345692, 13.3135099 52.6346009, 13.3135103 52.6346336, 13.3134971 52.6346654, 13.3134713 52.6346942)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3132568 52.6344904, 13.3133355 52.6344905, 13.3134001 52.6345021)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3131138 52.6345526, 13.313161 52.6345197, 13.3132299 52.6344941)"
secondary,1.0,yes,50.0,,,,excellent,"LINESTRING (13.4035496 52.3479438, 13.4036024 52.3479341, 13.4036572 52.3479336, 13.403706 52.3479411, 13.4037482 52.3479549, 13.4037888 52.3479778, 13.4038203 52.3480107)"
secondary,2.0,yes,50.0,,,L 200,excellent,"LINESTRING (13.5660747 52.6467146, 13.5663363 52.6470917)"
secondary,1.0,yes,50.0,,yes,L 400,good,"LINESTRING (13.5573778 52.3581612, 13.5573311 52.3580171, 13.5573247 52.3579506)"
secondary,2.0,,60.0,,,L 400,good,"LINESTRING (13.5653103 52.3427193, 13.5656079 52.3424386, 13.566028 52.3420424, 13.5660947 52.3419783)"
secondary,1.0,,60.0,,,,good,"LINESTRING (13.5663127 52.3417142, 13.5663657 52.3417315, 13.5664193 52.3417631, 13.5664507 52.3417964, 13.5664691 52.3418487, 13.5664473 52.3419154)"
secondary,,,,,,L 402,good,"LINESTRING (13.5725009 52.3408702, 13.5746661 52.3403388, 13.5750059 52.3402669, 13.5751724 52.3402381, 13.5756995 52.3401868, 13.5798557 52.3398146, 13.5802731 52.3397794, 13.5807633 52.3397328, 13.5819142 52.3396275, 13.5823863 52.3395859)"
secondary,2.0,no,,,,L 402,good,"LINESTRING (13.5915608 52.3387827, 13.5930778 52.3386412)"
secondary,1.0,,60.0,,,,good,"LINESTRING (13.5664473 52.3419154, 13.5663868 52.3419654, 13.5662806 52.3419989, 13.5661706 52.3419991, 13.5660947 52.3419783)"
secondary,1.0,,60.0,,,,good,"LINESTRING (13.5660947 52.3419783, 13.5660145 52.3419296, 13.5659819 52.3418696, 13.5659854 52.3418237, 13.566003 52.341794)"
secondary,2.0,,70.0,,,L 402,good,"LINESTRING (13.5450197 52.3462464, 13.5450614 52.346239, 13.5452553 52.3462033, 13.5452795 52.3461998)"
secondary,2.0,,50.0,,,L 402,good,"LINESTRING (13.5452795 52.3461998, 13.5453849 52.3461847)"
secondary,2.0,yes,50.0,,,L 402,good,"LINESTRING (13.5462286 52.3460149, 13.5464397 52.3459698)"
primary,2.0,no,100.0,,yes,B 101,,"LINESTRING (13.3404918 52.3908045, 13.3406682 52.3909058, 13.342771 52.3923591)"
secondary,,yes,,,,,,"LINESTRING (13.2175989 52.6112111, 13.2176065 52.6112219, 13.2176136 52.6112407, 13.2176151 52.6112599, 13.2176132 52.611268)"
secondary,,yes,,,,,,"LINESTRING (13.2173108 52.6113295, 13.217291 52.6113144, 13.2172759 52.6112975, 13.2172661 52.6112792, 13.2172618 52.6112601, 13.2172631 52.6112409)"
secondary,,yes,,,,,,"LINESTRING (13.2172631 52.6112409, 13.2172702 52.6112221, 13.2172826 52.6112045, 13.2173 52.6111884, 13.2173219 52.6111744)"
secondary,,yes,,,,,,"LINESTRING (13.2175663 52.6113292, 13.2175424 52.611342, 13.2175153 52.6113519, 13.2174856 52.6113587, 13.2174544 52.6113622)"
secondary,,yes,,,,,,"LINESTRING (13.2174381 52.6111478, 13.2174741 52.6111498, 13.2175004 52.6111546, 13.2175289 52.611163, 13.2175545 52.6111743, 13.2175765 52.6111882, 13.217594 52.6112042, 13.2175989 52.6112111)"
secondary,,yes,,,,,,"LINESTRING (13.2173219 52.6111744, 13.2173475 52.6111631, 13.217376 52.6111547, 13.2174066 52.6111496, 13.2174381 52.6111478)"
secondary,,,,,,,,"LINESTRING (13.1282739 52.3739873, 13.128101 52.3739887)"
primary,2.0,no,120.0,,yes,L 76,excellent,"LINESTRING (13.3963495 52.3675264, 13.3960269 52.3675306, 13.3959194 52.3675333)"
secondary,,yes,,,,,,"LINESTRING (13.2176132 52.611268, 13.2176108 52.611279, 13.217601 52.6112972, 13.2175861 52.6113142, 13.2175663 52.6113292)"
secondary,2.0,yes,50.0,,no,,,"LINESTRING (13.1989133 52.5540709, 13.1989511 52.553976)"
secondary,3.0,,70.0,,,L 33,good,"LINESTRING (13.7361365 52.5557253, 13.7370758 52.5561257)"
primary,2.0,no,50.0,,,B 2,good,"LINESTRING (13.5054243 52.5966598, 13.5049698 52.596483)"
secondary,2.0,,100.0,,,L 17,,"LINESTRING (13.1346383 52.6771085, 13.1335383 52.6777226)"
secondary,2.0,,70.0,,,L 236,good,"LINESTRING (13.6296414 52.6694029, 13.6296692 52.6694203, 13.6297195 52.6694419, 13.6297494 52.6694548, 13.6298398 52.6694766, 13.6300223 52.6694839, 13.6301474 52.6694688)"
secondary,,,,,yes,,,"LINESTRING (13.5135569 52.4645617, 13.5135777 52.464554, 13.5136037 52.4645443, 13.5136461 52.4645285, 13.5136984 52.4645089)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.1565109 52.3422237, 13.1564796 52.3421971, 13.1564508 52.3421552, 13.1564406 52.3421137, 13.1564482 52.3420685, 13.156475 52.3420257)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.1567018 52.342283, 13.1566583 52.3422786, 13.1566035 52.3422666, 13.1565613 52.3422515, 13.1565109 52.3422237)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.1567848 52.3419376, 13.1568497 52.3419509, 13.1569085 52.3419738, 13.1569322 52.3419898)"
secondary,1.0,yes,50.0,,,L 30,excellent,"LINESTRING (13.3132299 52.6344941, 13.3132568 52.6344904)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2687553 52.4030407, 13.2687707 52.4030075, 13.2688015 52.4029785, 13.2688451 52.4029564)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2687994 52.40313, 13.2687712 52.4031032, 13.2687561 52.4030726, 13.2687553 52.4030407)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2688451 52.4029564, 13.2688959 52.4029435, 13.2689506 52.40294)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677175 52.3955074, 13.2676886 52.39555)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2674292 52.3956222, 13.2673554 52.395607)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2673525 52.3953347, 13.2674284 52.3953186)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2676506 52.3953611, 13.2677004 52.3954041)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2691023 52.4029939, 13.2691193 52.4030149, 13.269129 52.4030376, 13.2691309 52.403061)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2691309 52.403061, 13.269121 52.4030921, 13.2690976 52.4031204, 13.2690625 52.4031438, 13.2690182 52.4031604)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2690182 52.4031604, 13.2689678 52.403169, 13.2689154 52.4031689)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.2689154 52.4031689, 13.268872 52.4031617, 13.2688326 52.4031485, 13.2687994 52.40313)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2676506 52.3953611, 13.2677004 52.3954041)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2674292 52.3956222, 13.2673554 52.395607)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2673525 52.3953347, 13.2674284 52.3953186)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677175 52.3955074, 13.2676886 52.39555)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.166402 52.3771654, 13.1664382 52.3772132, 13.1664505 52.3772654, 13.1664377 52.3773175, 13.1664011 52.3773651, 13.1663482 52.3773987)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.1659219 52.3773797, 13.1658746 52.37733, 13.1658552 52.3772737, 13.1658655 52.3772166, 13.1659046 52.3771643)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.1659046 52.3771643, 13.1659712 52.3771207, 13.1660574 52.3770926, 13.1661538 52.377083, 13.1662501 52.377093, 13.1663359 52.3771215, 13.166402 52.3771654)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.1663482 52.3773987, 13.1662629 52.3774337, 13.1661714 52.3774463)"
secondary,,,,,,,,"LINESTRING (13.2102441 52.3921545, 13.2102939 52.3921384, 13.2103497 52.3921334, 13.210405 52.3921402, 13.2104533 52.392158, 13.210489 52.3921846, 13.2105078 52.392217, 13.2105077 52.3922515, 13.2104886 52.3922839)"
secondary,,,,,,,,"LINESTRING (13.2104886 52.3922839, 13.2104532 52.3923101, 13.2104055 52.3923277, 13.2103509 52.3923346, 13.2102957 52.39233)"
secondary,,,,,,,,"LINESTRING (13.2101819 52.39222, 13.2101931 52.3921951, 13.2102143 52.3921728, 13.2102441 52.3921545)"
secondary,,,,,,,,"LINESTRING (13.2102957 52.39233, 13.210254 52.3923179, 13.2102194 52.3922991, 13.2101948 52.3922753)"
secondary,,,,,,,,"LINESTRING (13.2291787 52.3860753, 13.2291208 52.3860471, 13.2290823 52.3860085, 13.2290675 52.3859642, 13.2290784 52.3859195)"
secondary,,,,,,,,"LINESTRING (13.229382 52.3858455, 13.2294311 52.3858674, 13.2294681 52.385897, 13.22949 52.3859316, 13.229495 52.3859687, 13.2294827 52.3860051)"
secondary,,,,,,,,"LINESTRING (13.2294827 52.3860051, 13.2294462 52.386044, 13.2293904 52.3860731, 13.2293217 52.386089, 13.2292482 52.3860898, 13.2291787 52.3860753)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672472 52.3955403, 13.267223 52.3954951)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.267223 52.3954951, 13.2672225 52.3954476, 13.2672457 52.3954023)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672457 52.3954023, 13.2672905 52.3953634)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672905 52.3953634, 13.2673525 52.3953347)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2673554 52.395607, 13.2672928 52.3955788)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672928 52.3955788, 13.2672472 52.3955403)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2673554 52.395607, 13.2672928 52.3955788)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672928 52.3955788, 13.2672472 52.3955403)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672472 52.3955403, 13.267223 52.3954951)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.267223 52.3954951, 13.2672225 52.3954476)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672225 52.3954476, 13.2672457 52.3954023)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672457 52.3954023, 13.2672905 52.3953634)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2672905 52.3953634, 13.2673525 52.3953347)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2674284 52.3953186, 13.2675087 52.3953178)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2675087 52.3953178, 13.2675854 52.3953325)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2675854 52.3953325, 13.2676506 52.3953611)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677237 52.3954549, 13.2677175 52.3955074)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677004 52.3954041, 13.2677237 52.3954549)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677004 52.3954041, 13.2677237 52.3954549)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2677237 52.3954549, 13.2677175 52.3955074)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2674284 52.3953186, 13.2675087 52.3953178)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2675087 52.3953178, 13.2675854 52.3953325)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2675854 52.3953325, 13.2676506 52.3953611)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2676886 52.39555, 13.2676404 52.3955854)"
secondary,1.0,yes,50.0,,,,,"LINESTRING (13.2676886 52.39555, 13.2676404 52.3955854)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.1565979 52.341954, 13.1566504 52.3419403, 13.1567188 52.341934, 13.1567848 52.3419376)"
secondary,1.0,no,50.0,,,,excellent,"LINESTRING (13.156475 52.3420257, 13.1565184 52.3419889, 13.1565797 52.3419588, 13.1565979 52.341954)"
secondary,2.0,,,,,L 20,,"LINESTRING (13.1292439 52.6165532, 13.1290312 52.6164458, 13.1283745 52.6161275, 13.1280992 52.6160138, 13.1278059 52.615911)"
secondary,2.0,no,50.0,,,L 236,intermediate,"LINESTRING (13.6394021 52.668421, 13.6406313 52.6682892, 13.64111 52.6682424, 13.6414193 52.6682193, 13.6417383 52.6682024, 13.6420791 52.6681944, 13.6424773 52.668189, 13.6430513 52.6682006, 13.6433505 52.6682097, 13.6435072 52.6682051, 13.6436344 52.6681977, 13.6437238 52.6681852, 13.6438205 52.668167, 13.643903 52.6681437, 13.6440005 52.6681096, 13.6440934 52.668072, 13.6442088 52.6680169, 13.6444076 52.6679003, 13.6446815 52.6677228, 13.6449939 52.6675339)"
secondary,1.0,yes,50.0,,,,good,"LINESTRING (13.6955486 52.4795952, 13.6955128 52.4795599, 13.6954977 52.4795194, 13.695505 52.4794782, 13.6955338 52.4794406, 13.6955812 52.4794107, 13.6956451 52.4793912, 13.6957161 52.4793861, 13.6957857 52.479396, 13.6958456 52.4794197, 13.6958888 52.4794545)"
secondary,2.0,,50.0,,,L 403,good,"LINESTRING (13.2860678 52.3507411, 13.2858419 52.3506788, 13.2857302 52.3506272, 13.2856096 52.3505543, 13.2854999 52.3504652)"
residential,,yes,50,,,,,"LINESTRING (13.2942404 52.4977379, 13.2943033 52.4975979)"
residential,,,30,,,,,"LINESTRING (13.1911406 52.426519, 13.1915073 52.4268457)"
tertiary,3.0,yes,50,,,,,"LINESTRING (13.2972582 52.5115019, 13.2972955 52.5112883, 13.2973068 52.5112116, 13.297315 52.5111657, 13.2973218 52.5111336, 13.2973373 52.5110622)"
residential,,yes,30,,,,,"LINESTRING (13.3146007 52.5207267, 13.3144285 52.5200044)"
residential,,yes,30,,,,,"LINESTRING (13.3144285 52.5200044, 13.3144015 52.5198333)"
residential,2.0,yes,50,,,,,"LINESTRING (13.3308393 52.4673947, 13.3310019 52.4673129)"
tertiary,,yes,50,,yes,,good,"LINESTRING (13.3866041 52.5493771, 13.3867368 52.5494565)"
residential,,yes,50,,,,,"LINESTRING (13.2616349 52.518878, 13.2618734 52.5188354)"
residential,,yes,50,,,,,"LINESTRING (13.2580968 52.5181156, 13.2582985 52.5182199)"
residential,,yes,50,,,,good,"LINESTRING (13.3282603 52.4689311, 13.3284233 52.4689301)"
residential,,yes,30,,,,,"LINESTRING (13.3146252 52.5208843, 13.3146007 52.5207267)"
residential,,yes,50,,,,good,"LINESTRING (13.3938772 52.5411363, 13.3936962 52.5410948)"
residential,2.0,yes,30,,,,excellent,"LINESTRING (13.3354427 52.5267752, 13.3354561 52.5266985)"
residential,,yes,30,,,,,"LINESTRING (13.3293469 52.4816806, 13.3295065 52.481611)"
residential,,yes,50,,,,good,"LINESTRING (13.3369944 52.4882843, 13.337011 52.4881865)"
residential,2.0,yes,50,,,,good,"LINESTRING (13.3589966 52.5538849, 13.3588351 52.5539918, 13.3588003 52.5540149, 13.3586543 52.554111)"
residential,,yes,50,,,,good,"LINESTRING (13.4178129 52.518005, 13.4179714 52.5180641)"
residential,,yes,50,,,,,"LINESTRING (13.3151946 52.4470436, 13.3153059 52.4470817, 13.3153853 52.447109)"
residential,,yes,50,,yes,,excellent,"LINESTRING (13.337379 52.5587879, 13.3372853 52.5587248)"
residential,,yes,30,,,,,"LINESTRING (13.3390187 52.4866938, 13.3388833 52.486713)"
residential,,yes,30,,,,,"LINESTRING (13.3387349 52.4862639, 13.3388582 52.4862544)"
residential,4.0,yes,50,,,,,"LINESTRING (13.3353909 52.4514776, 13.3353046 52.4513817)"
residential,,yes,30,,,,,"LINESTRING (13.472775 52.5549322, 13.472734 52.5549349, 13.4726926 52.554929, 13.4726568 52.554915, 13.4726307 52.5548946, 13.4726173 52.5548701, 13.472618 52.554848, 13.4726292 52.5548243, 13.4726489 52.5548069, 13.4726756 52.5547934, 13.4727107 52.5547844, 13.4727487 52.5547822, 13.4727859 52.554787, 13.4728191 52.5547984, 13.4728452 52.5548153, 13.4728618 52.5548362, 13.4728673 52.5548592, 13.4728612 52.5548821, 13.4728422 52.5549044, 13.4728124 52.5549217, 13.472775 52.5549322)"
residential,,,30,,,,,"LINESTRING (13.2999148 52.5674757, 13.3001488 52.5673511)"
residential,,yes,30,,,,bad,"LINESTRING (13.3073314 52.6186493, 13.3073523 52.6186267, 13.3074038 52.6185839, 13.3074597 52.6185362, 13.3075205 52.6184843)"
tertiary,2.0,no,50,,,,excellent,"LINESTRING (13.5532517 52.3669015, 13.5537709 52.3665226)"
residential,,yes,30,,,,,"LINESTRING (13.2815405 52.6728313, 13.2815112 52.6728024, 13.2814977 52.6727694, 13.2815012 52.6727354, 13.2815214 52.6727037)"
residential,,yes,30,,,,,"LINESTRING (13.472734 52.5549349, 13.4726948 52.5551111, 13.4726824 52.5551669, 13.4726573 52.5552612, 13.4726522 52.55528, 13.4726443 52.5553099, 13.4726337 52.5553498)"
residential,2.0,yes,50,,,,good,"LINESTRING (13.4285374 52.5478509, 13.4286326 52.5478175, 13.4286716 52.5478038, 13.4287807 52.5477654)"
residential,,yes,50,,,,good,"LINESTRING (13.3784889 52.5503609, 13.378404 52.5504864)"
residential,,,30,,,,bad,"LINESTRING (13.5967045 52.6533355, 13.5964569 52.6533824, 13.5956047 52.6534781, 13.5947366 52.6535822, 13.5931897 52.653786, 13.5916349 52.6539964, 13.5915115 52.6540032, 13.5914589 52.6539959)"
tertiary,2.0,yes,50,,,,,"LINESTRING (13.3195255 52.5195693, 13.3195781 52.5196012, 13.3196994 52.5196776)"
tertiary,2.0,,,,,K 7238,good,"LINESTRING (13.4452817 52.3468114, 13.4444659 52.3466283)"
residential,,yes,30,,no,,intermediate,"LINESTRING (13.7035531 52.3702837, 13.7035856 52.3702377, 13.7035975 52.3702203, 13.7038316 52.3698783)"
tertiary,2.0,yes,50,,,,good,"LINESTRING (13.5865377 52.4407122, 13.5865919 52.4407936, 13.586616 52.440821, 13.5866852 52.4408865)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.4787034 52.5339607, 13.4786888 52.5340705, 13.4790349 52.5345222, 13.479144 52.5345646, 13.4792271 52.5346206, 13.4793383 52.5347395, 13.4797725 52.5345985, 13.4798429 52.5345756)"
tertiary,4.0,yes,50,,,,excellent,"LINESTRING (13.4132262 52.5476705, 13.4132834 52.5476656, 13.4133363 52.547661, 13.4134595 52.5476505, 13.4135167 52.5476456, 13.4135639 52.5476415)"
residential,,yes,,,,,,"LINESTRING (13.1364843 52.369958, 13.136622 52.3698786, 13.1367287 52.3698131, 13.1368222 52.369795, 13.1369364 52.3697982, 13.1370683 52.369815)"
residential,,yes,50,,,,good,"LINESTRING (13.4544938 52.4745058, 13.4545973 52.4745869)"
residential,,,30,,,,,"LINESTRING (13.5340259 52.5897374, 13.5346111 52.5896182, 13.534984 52.5895309, 13.5352383 52.589461)"
tertiary,2.0,,30,,,K 6501,good,"LINESTRING (13.3606658 52.6361338, 13.3609364 52.6363605)"
residential,,yes,30,,yes,,,"LINESTRING (13.4165262 52.4972727, 13.4165005 52.4972896, 13.4164673 52.4973006, 13.4164319 52.4973046, 13.416396 52.4973019, 13.4163632 52.4972928, 13.4163366 52.497278, 13.4163185 52.4972589, 13.4163108 52.4972376, 13.416314 52.4972158, 13.4163278 52.4971956, 13.416351 52.4971789, 13.4163814 52.4971673, 13.4164178 52.4971616, 13.4164552 52.4971633, 13.4164899 52.497172, 13.4165183 52.4971869, 13.4165376 52.4972065, 13.4165457 52.497229, 13.4165418 52.4972518, 13.4165262 52.4972727)"
residential,,yes,30,,,,,"LINESTRING (13.5615778 52.3959971, 13.5611916 52.3958033)"
tertiary,,yes,50,,,,,"LINESTRING (13.3316046 52.5133158, 13.3316277 52.5131726)"
residential,,,20,,,,,"LINESTRING (13.1472628 52.5518392, 13.1479538 52.5517792, 13.1486438 52.5517246)"
tertiary,2.0,no,80,,,,,"LINESTRING (13.1640102 52.5057632, 13.1639244 52.5058098, 13.1638266 52.5058333, 13.1633839 52.5058451, 13.1626019 52.5058652, 13.1583818 52.5059876, 13.157961 52.5059892, 13.1573758 52.5059704, 13.1546218 52.505841, 13.154415 52.5058371, 13.1541043 52.5058477, 13.1538463 52.5058719, 13.1536285 52.505901, 13.1502178 52.5066292)"
residential,,yes,50,,,,,"LINESTRING (13.470993 52.4660252, 13.4711101 52.4660917)"
residential,,yes,50,,,,,"LINESTRING (13.328587 52.4733963, 13.3283359 52.4733928)"
residential,,no,,,,,bad,"LINESTRING (13.6773113 52.616566, 13.6773745 52.6165871, 13.6774175 52.6166094, 13.6774884 52.6166547, 13.6775563 52.6167209, 13.6775745 52.616785, 13.6770761 52.6183827)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5471201 52.5437111, 13.547075 52.543679, 13.5470227 52.5436397, 13.546963 52.5435832, 13.546583 52.5431445, 13.5465043 52.5430537, 13.5464582 52.542973, 13.5464352 52.5429162, 13.5464434 52.5428607, 13.5464655 52.5428037, 13.5465058 52.5427417, 13.5465178 52.5427273, 13.546664 52.5425827, 13.5466865 52.5425593, 13.546704 52.5425436, 13.5467482 52.5425016)"
residential,,yes,30,,,,good,"LINESTRING (13.4335749 52.3535338, 13.4337619 52.3535837, 13.4342866 52.3537318, 13.4344072 52.3537334, 13.434514 52.3537199, 13.4346936 52.3536519, 13.4349954 52.3532919)"
residential,1.0,no,,,,,bad,"LINESTRING (13.6918434 52.3612756, 13.6916726 52.3612239, 13.6913651 52.3611519, 13.6911504 52.3610644, 13.6907262 52.3608419, 13.6906998 52.360831, 13.6906093 52.3607771, 13.6900745 52.3604933, 13.6896435 52.3602954, 13.689394 52.3601601, 13.6891671 52.3600644, 13.6888188 52.3598958, 13.6884015 52.3596816, 13.6882767 52.3596178)"
residential,,yes,30,,,,,"LINESTRING (13.2433545 52.4010753, 13.243331 52.4010523, 13.2433213 52.4010259, 13.2433266 52.4009989, 13.2433462 52.4009746, 13.2433744 52.4009572, 13.24341 52.4009457, 13.2434495 52.4009414, 13.2434893 52.4009445, 13.2435278 52.4009555, 13.2435585 52.4009735, 13.2435782 52.4009965, 13.2435849 52.4010221, 13.2435779 52.4010477, 13.2435604 52.4010685, 13.2435339 52.4010853, 13.2435006 52.4010968, 13.2434633 52.401102, 13.2434251 52.4011004, 13.2433892 52.4010922, 13.2433545 52.4010753)"
residential,,,,,,,bad,"LINESTRING (13.1917476 52.3899951, 13.1912361 52.389818, 13.1916493 52.3893107, 13.1921041 52.3894426)"
tertiary,,yes,50,,,,good,"LINESTRING (13.3599192 52.475442, 13.3598003 52.4753381)"
tertiary,,yes,30,,yes,,excellent,"LINESTRING (13.5170217 52.3676663, 13.5165189 52.3675563, 13.5163861 52.3675358, 13.516236 52.3675339)"
residential,,,,,,,,"LINESTRING (13.1817893 52.3776108, 13.1817422 52.3776049, 13.1816896 52.3775982)"
residential,,yes,20,,,,bad,"LINESTRING (13.6282292 52.484895, 13.6282627 52.4848042, 13.6284925 52.4846919)"
residential,1.0,yes,50,,yes,,good,"LINESTRING (13.4259095 52.4994533, 13.4258702 52.499395, 13.4258254 52.4993282, 13.4258149 52.4993121, 13.4257627 52.4992362)"
residential,,no,30,,,,,"LINESTRING (13.3850159 52.5975819, 13.3847903 52.5974824, 13.3836959 52.5970654, 13.3834034 52.5969599, 13.3822445 52.5965229)"
tertiary,,yes,50,,,,excellent,"LINESTRING (13.3630109 52.4761304, 13.363127 52.4760854)"
tertiary,2.0,yes,50,,,,good,"LINESTRING (13.5797455 52.4590347, 13.579782 52.4590315, 13.5797948 52.4590307, 13.5798223 52.4590289)"
tertiary,2.0,yes,50,,,,good,"LINESTRING (13.5797455 52.4590347, 13.5797054 52.4590384, 13.5796685 52.4590423)"
tertiary,2.0,yes,50,,yes,,good,"LINESTRING (13.3865381 52.5495719, 13.3864107 52.5494873)"
residential,,,30,,,,,"LINESTRING (13.1059346 52.5656515, 13.1060406 52.5662102, 13.1060578 52.566314)"
residential,,,50,,,,,"LINESTRING (13.7380142 52.6821503, 13.7376757 52.6818526, 13.7373645 52.6816054, 13.7373016 52.6815554)"
residential,,yes,30,,,,,"LINESTRING (13.1788676 52.4000609, 13.1787115 52.4000301, 13.1774808 52.3999852)"
residential,,,30,,,,,"LINESTRING (13.5687534 52.6158624, 13.5685127 52.6159733, 13.5683335 52.6161151)"
