highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
secondary,3.0,,70.0,,,L 33,,"LINESTRING (13.7079887 52.5455352, 13.7081563 52.5454635, 13.7082215 52.5454404, 13.7090107 52.5452048, 13.7093389 52.5451205)"
primary,3.0,yes,70.0,,yes,L 76,excellent,"LINESTRING (13.3964956 52.3675241, 13.3963495 52.3675264)"
secondary,4.0,yes,50.0,,yes,,good,"LINESTRING (13.4646068 52.4701826, 13.4647801 52.4702651)"
secondary,2.0,,100.0,,,L 17,,"LINESTRING (13.1335383 52.6777226, 13.1334652 52.6777651, 13.1314598 52.6788647, 13.1305763 52.6793705, 13.1298481 52.6799347, 13.1281267 52.6813516, 13.1255303 52.6835264, 13.1219031 52.6866841, 13.1180661 52.6897307)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.4401479 52.3651354, 13.4390852 52.365464, 13.4382279 52.3656858, 13.437213 52.3659251, 13.4361875 52.3661624, 13.4348654 52.366405)"
secondary,,no,,,,L 17,,"LINESTRING (13.1773887 52.6601752, 13.1782937 52.6599873, 13.1790786 52.6598244, 13.179571 52.659682, 13.1798981 52.6595791, 13.1803045 52.6594415, 13.1804883 52.6593458, 13.1809386 52.6591113, 13.1816818 52.6586798, 13.1820711 52.6585061, 13.1825529 52.658325, 13.183455 52.6580115, 13.1844225 52.6576749, 13.1853375 52.6573425, 13.1858551 52.6570827, 13.1864219 52.6567762, 13.1866571 52.6566463, 13.1867805 52.6565767)"
secondary,1.0,,60.0,,,,good,"LINESTRING (13.566003 52.341794, 13.5660254 52.3417681, 13.5660741 52.341736, 13.5661306 52.3417158, 13.5661789 52.3417068, 13.5662294 52.3417043, 13.5663127 52.3417142)"
secondary,2.0,,100.0,,,L 292,good,"LINESTRING (13.7313195 52.661257, 13.7312146 52.6606066, 13.7310845 52.6599611, 13.7303779 52.6569271, 13.7296931 52.6542173, 13.7295958 52.6538333, 13.729489 52.6535224, 13.7293395 52.6532278, 13.7293092 52.6531747, 13.7291894 52.6529645, 13.7291301 52.6528745)"
secondary,2.0,no,50.0,,,L 235,intermediate,"LINESTRING (13.760988 52.6012447, 13.7614085 52.6013012)"
secondary,2.0,no,80.0,,,L 235,good,"LINESTRING (13.7573972 52.6074634, 13.7575163 52.6075657, 13.7575807 52.6076293, 13.7576377 52.6077137, 13.7576581 52.607787, 13.7576659 52.6078647, 13.757642 52.6080142, 13.7575894 52.6082478, 13.7575175 52.6085129, 13.7574441 52.6087759, 13.7573114 52.6092789, 13.7572478 52.6095184, 13.757213 52.6096184, 13.7571407 52.6097859, 13.7570581 52.6099442, 13.7568925 52.6102471, 13.7563292 52.61117, 13.7559831 52.611722, 13.7554394 52.6125873, 13.7550376 52.6132243, 13.7546022 52.6138993, 13.7542246 52.6144823, 13.7539349 52.6149259, 13.7537489 52.6152055, 13.7536028 52.6154071, 13.7534268 52.6156413, 13.7531675 52.6159776, 13.7530027 52.6161702, 13.7528359 52.6163374, 13.7526569 52.6165009, 13.752447 52.6166713, 13.7517543 52.6172394, 13.751731 52.61726)"
secondary,2.0,yes,50.0,,yes,,good,"LINESTRING (13.5088435 52.4525462, 13.5087784 52.452598, 13.5087336 52.4526335, 13.5087065 52.4526548, 13.5086098 52.4527183)"
primary,2.0,no,100.0,,yes,B 101,good,"LINESTRING (13.3509973 52.4005075, 13.3499583 52.3995438, 13.3472395 52.3969995, 13.3469828 52.396714, 13.3467931 52.3964501, 13.3466162 52.3961439, 13.3463254 52.3954928, 13.3461517 52.3951847, 13.3460404 52.3950205, 13.3458905 52.3948295, 13.3456282 52.3945491, 13.3453221 52.394289, 13.3442756 52.3935601, 13.3436279 52.3931157, 13.3425923 52.3924052)"
secondary,1.0,,50.0,,,L 40,,"LINESTRING (13.3537259 52.3433371, 13.3537462 52.3433752, 13.3537466 52.3434153, 13.3537269 52.3434536, 13.3536992 52.3434795, 13.3536623 52.3435007, 13.3536034 52.3435193, 13.3535379 52.3435259, 13.3534879 52.3435225, 13.3534405 52.3435121, 13.3533985 52.343495, 13.3533558 52.3434649, 13.3533301 52.3434283, 13.3533237 52.3433887, 13.3533373 52.3433498, 13.3533695 52.3433152, 13.3534173 52.3432881, 13.3534762 52.3432712, 13.3535344 52.343266, 13.3535927 52.3432706, 13.3536467 52.3432849, 13.3536922 52.3433076, 13.3537259 52.3433371)"
primary,3.0,yes,50.0,,yes,B 96a,good,"LINESTRING (13.4474352 52.5264177, 13.4474622 52.5263829, 13.4474892 52.5263466, 13.4475066 52.5263233, 13.4475113 52.526317, 13.4475371 52.5262836, 13.4475718 52.5262326)"
primary,3.0,yes,50.0,,yes,B 96a,good,"LINESTRING (13.4478914 52.5263405, 13.4478277 52.5264192, 13.4478056 52.5264426, 13.4478006 52.5264485, 13.4477681 52.5264822, 13.4477389 52.526513)"
secondary,2.0,,50.0,,,L 40,excellent,"LINESTRING (13.3126028 52.3538705, 13.3138627 52.3534981, 13.3149985 52.3531663)"
secondary,2.0,,50.0,,,L 40,good,"LINESTRING (13.2885203 52.3514517, 13.2883099 52.3514896, 13.2881231 52.3514946, 13.287852 52.3514662, 13.2876149 52.3513974, 13.2874587 52.3513034, 13.2873207 52.3511738, 13.2872273 52.3509864, 13.2872238 52.3509558, 13.2872168 52.3508087)"
secondary,2.0,yes,50.0,,,,good,"LINESTRING (13.5837938 52.4631169, 13.5837094 52.463147, 13.5836595 52.4631648, 13.5835906 52.4631894)"
secondary,,no,70.0,,,L 402,good,"LINESTRING (13.500782 52.3355033, 13.5021517 52.3371143, 13.5022615 52.3372251, 13.5024008 52.3373402, 13.5034446 52.3381611, 13.504223 52.3387498, 13.5052714 52.33957, 13.5057226 52.3399355)"
primary,2.0,,120.0,,yes,L 76,,"LINESTRING (13.3259742 52.3793864, 13.3261724 52.3793104, 13.3278731 52.3786664, 13.3306534 52.3775752, 13.332124 52.376927, 13.3330641 52.3765377, 13.3340376 52.3761844)"
