highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
primary,2,yes,50,George Catlett Marshall-Brücke,yes,B 96,good,"LINESTRING (13.3719643 52.5051608, 13.3718837 52.5050909)"
secondary,3,yes,50,Wilhelmstraße,,,good,"LINESTRING (13.3814877 52.5151408, 13.3815417 52.5150374, 13.3815613 52.5150008, 13.3815663 52.5149912, 13.3816661 52.5148013, 13.3817124 52.5147132)"
primary,4,yes,30,Behrenstraße,,B 5,good,"LINESTRING (13.3860575 52.5154509, 13.3858345 52.5154357, 13.3857993 52.5154329, 13.3855945 52.5154187, 13.3844993 52.5153492)"
secondary,4,yes,50,Brunnenstraße,,,excellent,"LINESTRING (13.3968769 52.5371527, 13.3965377 52.5375956)"
secondary,2,yes,50,Friedrichstraße,,,excellent,"LINESTRING (13.3882318 52.5205569, 13.3882284 52.5205761, 13.3882069 52.5206992)"
secondary,3,yes,50,Kurfürstenstraße,yes,,,"LINESTRING (13.3501937 52.5031537, 13.3498078 52.5032395)"
secondary,2,yes,50,Saargemünder Straße,yes,,,"LINESTRING (13.2710449 52.4508495, 13.2715688 52.4508145, 13.272453 52.4507435, 13.2727269 52.4507215, 13.273819 52.4506386, 13.2747085 52.4505681, 13.2755423 52.4505138, 13.2756945 52.4505028, 13.2757813 52.4504934, 13.2765813 52.4504316, 13.276708 52.4504179)"
secondary,2,yes,50,Saargemünder Straße,yes,,,"LINESTRING (13.2787369 52.4503822, 13.2786075 52.4503903, 13.277078 52.4505047, 13.2770228 52.4505095, 13.276728 52.4505303)"
secondary,3,yes,50,Müllerstraße,,,good,"LINESTRING (13.3716334 52.5391596, 13.3717753 52.5390602)"
secondary,3,yes,50,Fennstraße,yes,,good,"LINESTRING (13.3676067 52.5407364, 13.3677559 52.5407657, 13.3678898 52.5408016)"
secondary,3,yes,50,Fennstraße,yes,,good,"LINESTRING (13.3683165 52.541114, 13.3682229 52.5410744, 13.3681824 52.5410566, 13.3677901 52.5408598)"
secondary,1,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3167721 52.5011127, 13.3169409 52.5011385, 13.3169851 52.5011459)"
secondary,2,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.3277484 52.5031173, 13.3276826 52.5031033, 13.3274579 52.5030529, 13.327262 52.5030058, 13.3272184 52.5029966)"
secondary,2,yes,50,Kurfürstendamm,yes,,good,"LINESTRING (13.3356978 52.5044695, 13.3354381 52.5044916, 13.3352148 52.5045055, 13.3349177 52.5045159, 13.3346112 52.5045141, 13.3344718 52.504508, 13.3342999 52.5044924, 13.3340195 52.5044521)"
secondary,,yes,50,Kurfürstendamm,yes,,,"LINESTRING (13.33121 52.50371, 13.331418 52.5037526)"
secondary,3,yes,30,Fennstraße,yes,,good,"LINESTRING (13.3615841 52.5379437, 13.3614194 52.5378674)"
secondary,2,yes,30,Koenigsallee,,,good,"LINESTRING (13.280634 52.4922255, 13.2804227 52.4920384, 13.2803323 52.4919581, 13.2801905 52.4918358, 13.2788589 52.4906465, 13.2787281 52.4905596, 13.2785654 52.4905002, 13.2784929 52.4904774, 13.2783959 52.490459, 13.2782044 52.4904392, 13.2780274 52.4904472, 13.2770082 52.4905795, 13.2769847 52.4905817, 13.2768827 52.4905914, 13.2767557 52.4905946, 13.2766538 52.4905874, 13.2765548 52.4905749, 13.2764526 52.4905552, 13.2763597 52.490529, 13.2762357 52.4904843, 13.276099 52.4904078, 13.2760298 52.4903537, 13.2759685 52.4902939, 13.275931 52.4902466, 13.2755667 52.4897728, 13.2755612 52.4897653)"
secondary,2,yes,50,Levetzowstraße,yes,,,"LINESTRING (13.329528 52.5229102, 13.3296631 52.5228493)"
secondary,2,yes,30,Beusselstraße,yes,,intermediate,"LINESTRING (13.3283382 52.5329369, 13.3283645 52.5328154, 13.3283733 52.5327895)"
secondary,2,yes,50,Kaiserin-Augusta-Allee,yes,,,"LINESTRING (13.3061963 52.5256779, 13.3063867 52.5256789, 13.3064742 52.5256804)"
secondary,,yes,50,Osnabrücker Straße,,,,"LINESTRING (13.2996063 52.5262101, 13.3000619 52.5261398, 13.3001406 52.5261274, 13.30024 52.5261054)"
primary,5,yes,50,Ernst-Reuter-Platz,yes,B 2;B 5,good,"LINESTRING (13.321936 52.5132003, 13.3217677 52.5131968)"
secondary,2,yes,50,Otto-Suhr-Allee,yes,,,"LINESTRING (13.3004566 52.5192673, 13.3011245 52.5190519, 13.3012041 52.5190262, 13.3013306 52.5189869, 13.3020798 52.5187543)"
secondary,2,yes,50,Otto-Suhr-Allee,yes,,good,"LINESTRING (13.3216014 52.5131843, 13.3215291 52.5131907, 13.3214568 52.5131972, 13.3213474 52.513216)"
primary,3,yes,50,Theodor-Heuss-Platz,yes,B 2;B 5,,"LINESTRING (13.2734654 52.5097011, 13.2734513 52.5097036, 13.2733972 52.5097133, 13.2733593 52.5097194, 13.2722313 52.5098957)"
secondary,2,yes,50,Reichsstraße,yes,,,"LINESTRING (13.2714766 52.5101239, 13.2714314 52.5101385, 13.2713599 52.5101654, 13.2711737 52.51025)"
secondary,2,yes,50,Breitenbachplatz,yes,,,"LINESTRING (13.3074981 52.4661715, 13.3077917 52.4662072, 13.3080395 52.4662554, 13.3082544 52.4663172, 13.3082932 52.4663345, 13.3084736 52.4664151, 13.3090575 52.4667584, 13.3092234 52.4668587)"
secondary,2,yes,50,Breitenbachplatz,yes,,,"LINESTRING (13.308262 52.4671013, 13.3079488 52.4669239, 13.3077638 52.4668104, 13.3076209 52.4666895, 13.3075311 52.4665868, 13.3074177 52.4664292, 13.3073273 52.4663155)"
secondary,,yes,50,Hundekehlestraße,yes,,,"LINESTRING (13.2898593 52.4755042, 13.2882459 52.4757169, 13.2877293 52.4757866, 13.287565 52.4758088, 13.2874601 52.4758229, 13.2863985 52.4759654, 13.2861666 52.4759991, 13.2860314 52.4760187, 13.2852595 52.4761344, 13.2844909 52.4762577, 13.284295 52.4762915, 13.2841264 52.4763203, 13.2834792 52.4764296)"
secondary,2,yes,50,Wexstraße,yes,,,"LINESTRING (13.3369266 52.4783053, 13.3372699 52.478311, 13.3376176 52.4783328, 13.3382431 52.4783523, 13.3399714 52.4783817, 13.3409733 52.4783968)"
secondary,3,yes,50,Wexstraße,yes,,good,"LINESTRING (13.3418892 52.4789567, 13.3412702 52.479002, 13.3410634 52.4790152, 13.3405225 52.4790475, 13.340271 52.4790453, 13.3401791 52.4790455, 13.3400016 52.4790429, 13.3398673 52.4790409, 13.3396944 52.4790349, 13.339503 52.4790291, 13.3393973 52.479025, 13.3390854 52.4790102, 13.3386955 52.4789849, 13.3381987 52.4789436, 13.3370956 52.4788361)"
secondary,,yes,50,Blissestraße,yes,,,"LINESTRING (13.3204029 52.4849461, 13.3204129 52.4849737, 13.3204748 52.4851649, 13.3204814 52.4851871, 13.3205162 52.4852975, 13.3205348 52.4853739, 13.3205626 52.4855318, 13.320569 52.485564, 13.320575 52.4855976, 13.3205847 52.4856798)"
secondary,,yes,50,Rosenthaler Weg,,,good,"LINESTRING (13.402026 52.6028237, 13.4021518 52.6028532)"
secondary,2,yes,50,Joachimsthaler Straße,yes,,,"LINESTRING (13.3323368 52.5062876, 13.3322134 52.5061795)"
secondary,2,yes,50,Invalidenstraße,yes,,excellent,"LINESTRING (13.360489 52.5237158, 13.3603902 52.5237039, 13.3603169 52.5236959, 13.359969 52.5235906, 13.3598403 52.5235525, 13.3597916 52.5235381, 13.3596898 52.5235198, 13.3595405 52.523493)"
secondary,3,yes,50,Turmstraße,yes,,good,"LINESTRING (13.3430378 52.526241, 13.3432423 52.5262353)"
secondary,1,yes,50,Rathenower Straße,yes,,excellent,"LINESTRING (13.3563782 52.5255387, 13.3563465 52.5254882, 13.356333 52.5254668, 13.3563906 52.5253982, 13.3565588 52.5251976, 13.3568041 52.5249074, 13.3569144 52.5247651, 13.356979 52.5246714, 13.3570246 52.5245857)"
secondary,2,yes,50,Turmstraße,yes,,good,"LINESTRING (13.3289378 52.5272933, 13.3291421 52.5272725, 13.3294279 52.5272451, 13.3296396 52.5272248, 13.3298008 52.5272086)"
secondary,2,yes,50,Sickingenstraße,,,intermediate,"LINESTRING (13.3145861 52.5303803, 13.3149165 52.5304414, 13.3151942 52.5304932, 13.3154273 52.5305365, 13.316706 52.5307717, 13.3169141 52.5308127, 13.3175319 52.5309275)"
secondary,2,yes,50,Gaußstraße,,,,"LINESTRING (13.3074954 52.5289869, 13.3083218 52.5291142, 13.3100766 52.529372, 13.3113548 52.5295599, 13.3116708 52.5296108, 13.3118689 52.5296528, 13.3120473 52.5296969, 13.3122271 52.5297492, 13.3125906 52.5298712, 13.3127319 52.5299183, 13.3127907 52.5299389, 13.3130277 52.5300163, 13.3132019 52.5300731)"
secondary,3,yes,50,Beusselstraße,yes,,good,"LINESTRING (13.3280668 52.535375, 13.3278028 52.5356869, 13.327533 52.535997, 13.3271229 52.5364776, 13.3269704 52.5366699, 13.3269341 52.5367257, 13.3268813 52.5368134, 13.3268055 52.5369388, 13.3267361 52.5370562, 13.3267045 52.5371097, 13.3266406 52.537266)"
secondary,4,yes,50,,,,intermediate,"LINESTRING (13.3285254 52.5329513, 13.3283382 52.5329369)"
secondary,2,yes,50,Olbersstraße,,,,"LINESTRING (13.3051201 52.5287758, 13.3047931 52.5288032, 13.3045141 52.5288402, 13.3034055 52.5290047)"
primary,2,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.3675639 52.5260068, 13.3676177 52.5259294, 13.3676345 52.5259052, 13.3677031 52.5258065)"
primary,6,yes,50,Großer Stern,yes,B 2;B 5,good,"LINESTRING (13.3505758 52.5139589, 13.3506476 52.5139845, 13.3507158 52.5140136, 13.3507799 52.5140459, 13.3508395 52.5140812, 13.3508943 52.5141193, 13.3509439 52.51416, 13.350988 52.514203, 13.3510262 52.514248)"
secondary,2,yes,50,Altonaer Straße,yes,,good,"LINESTRING (13.3495172 52.5150436, 13.3493609 52.5150396, 13.3492157 52.51504, 13.3490728 52.5150485, 13.3489803 52.5150661, 13.3488874 52.5150957, 13.3488128 52.5151286)"
secondary,2,yes,50,Konstanzer Straße,yes,,good,"LINESTRING (13.3079867 52.4887968, 13.3079763 52.4888525, 13.3079746 52.4889062, 13.3079986 52.4890046, 13.3085232 52.4900288, 13.3085621 52.4901046)"
secondary,3,yes,50,Konstanzer Straße,yes,,excellent,"LINESTRING (13.3103198 52.494063, 13.3102407 52.4939991, 13.3101986 52.4939197, 13.3101535 52.4938361)"
secondary,4,yes,50,Konstanzer Straße,,,,"LINESTRING (13.3103198 52.494063, 13.3103235 52.494071, 13.3104247 52.4943111, 13.3105238 52.4945463, 13.3105901 52.4947035, 13.3106266 52.4947902, 13.3107385 52.4950557, 13.3107654 52.4951206, 13.3107925 52.4951881, 13.3109026 52.4954599, 13.3110044 52.4957113, 13.3111362 52.4960361, 13.3111701 52.4961173)"
secondary,3,yes,50,Olivaer Platz,yes,,excellent,"LINESTRING (13.312785 52.4995396, 13.3129113 52.4996263, 13.3129554 52.499692, 13.3130101 52.499786)"
secondary,2,yes,50,Olivaer Platz,yes,,good,"LINESTRING (13.3128674 52.4998694, 13.3127883 52.4996683, 13.312785 52.4995396)"
secondary,2,yes,30,Spandauer Damm,yes,,excellent,"LINESTRING (13.2906007 52.519053, 13.290792 52.5190381, 13.2916304 52.5190917, 13.2916931 52.5190961)"
secondary,3,yes,50,Spandauer Damm,yes,,good,"LINESTRING (13.2992122 52.5196888, 13.2989276 52.5196737, 13.2988464 52.519669, 13.2980823 52.5196251)"
secondary,5,yes,30,Spandauer Damm,,,good,"LINESTRING (13.2858724 52.5187726, 13.2861536 52.518789, 13.2864278 52.5188032)"
secondary,4,yes,30,Spandauer Damm,yes,,good,"LINESTRING (13.284575 52.5187028, 13.2841507 52.518682, 13.2840841 52.5186787)"
secondary,2,yes,50,Spandauer Damm,yes,,,"LINESTRING (13.2784583 52.5182766, 13.278622 52.5182538, 13.2787733 52.5182411, 13.2789655 52.5182419)"
primary,2,yes,50,Königstraße,yes,B 1,good,"LINESTRING (13.170791 52.4208725, 13.1705473 52.42087, 13.1703307 52.4208604, 13.1700003 52.4208313, 13.1686637 52.4206858, 13.1682924 52.4206464, 13.1682026 52.4206369, 13.1680192 52.4206174, 13.1674549 52.4205585, 13.167324 52.4205436, 13.1671669 52.4205257)"
primary,2,no,50,Königstraße,,B 1,good,"LINESTRING (13.1377796 52.417015, 13.1362437 52.4167545, 13.1356368 52.4166664, 13.1351096 52.4165957, 13.1284834 52.4158516, 13.1263366 52.4156089, 13.1259971 52.4155705, 13.1258293 52.4155527, 13.1255177 52.415518, 13.1230147 52.4152533, 13.1184133 52.4148107, 13.1168529 52.4146613, 13.1148822 52.4144674, 13.1124741 52.4142387, 13.1119546 52.4141969, 13.1098825 52.4140627, 13.1098488 52.4140605)"
primary,1,no,50,Königstraße,yes,B 1,,"LINESTRING (13.1098488 52.4140605, 13.109246 52.4140604)"
secondary,2,yes,50,Turmstraße,yes,,excellent,"LINESTRING (13.3550435 52.5267715, 13.3547778 52.5267192, 13.3544382 52.5266872)"
secondary,1,yes,30,Turmstraße,yes,,excellent,"LINESTRING (13.3413525 52.5264217, 13.3412617 52.5264246, 13.3412119 52.5264261, 13.3401595 52.5264594, 13.3400739 52.5264621, 13.339923 52.5264669, 13.3394006 52.5264857)"
primary,3,yes,50,Seestraße,yes,,good,"LINESTRING (13.3652787 52.557103, 13.3651364 52.5570885, 13.3645619 52.5570339, 13.3644503 52.5570182, 13.3643464 52.5569985, 13.3642546 52.5569747, 13.3641668 52.5569481, 13.3640202 52.5568891)"
secondary,2,yes,40,,,,,"LINESTRING (13.2723709 52.5004532, 13.2723539 52.5004815, 13.2723535 52.5005062, 13.2723613 52.5005333, 13.2723801 52.5005598, 13.2724001 52.500575, 13.2726586 52.5007858, 13.2727408 52.5008418, 13.2728042 52.5008793, 13.2728749 52.5009183, 13.2729373 52.5009466, 13.2730012 52.5009705, 13.273063 52.5009911, 13.2731353 52.5010104, 13.2732055 52.5010248, 13.2732859 52.5010382, 13.2733631 52.5010456, 13.2734409 52.5010495, 13.2735207 52.5010517, 13.2736066 52.5010478, 13.2736937 52.5010395, 13.2737855 52.5010258, 13.2738954 52.501001, 13.2740149 52.5009595, 13.2741248 52.5009109, 13.2743566 52.5008019, 13.2744046 52.5007798)"
secondary,4,yes,50,Messedamm,yes,,excellent,"LINESTRING (13.2778937 52.5033217, 13.2782246 52.5034618)"
secondary,2,yes,50,Kurt-Schumacher-Platz,yes,,good,"LINESTRING (13.3277078 52.5640457, 13.3275936 52.5639533, 13.3275676 52.5639296)"
secondary,5,yes,50,Messedamm,yes,,excellent,"LINESTRING (13.2792415 52.5034958, 13.2792817 52.5035997)"
secondary,5,yes,50,Neue Kantstraße,yes,,good,"LINESTRING (13.2802152 52.506368, 13.2804409 52.506349)"
secondary,4,yes,50,Messedamm,yes,,good,"LINESTRING (13.2804409 52.506349, 13.2805298 52.506501)"
secondary,4,yes,50,Messedamm,yes,,,"LINESTRING (13.2803086 52.5065284, 13.2802152 52.506368)"
secondary,5,yes,50,Masurenallee,yes,,good,"LINESTRING (13.2805298 52.506501, 13.2803086 52.5065284)"
secondary,3,yes,50,Messedamm,yes,,good,"LINESTRING (13.2792817 52.5035997, 13.2790046 52.5036716)"
secondary,3,yes,50,Messedamm,yes,,good,"LINESTRING (13.2789547 52.5035321, 13.2792415 52.5034958)"
secondary,2,yes,30,Hagenstraße,,,,"LINESTRING (13.2754696 52.478436, 13.2755812 52.4784133, 13.2757745 52.4783753, 13.2768907 52.4781545, 13.2770023 52.4781324, 13.2770754 52.4781175, 13.2787354 52.4777779, 13.2788118 52.4777625, 13.2788888 52.4777465, 13.2789631 52.4777336, 13.2794771 52.4776295, 13.2800608 52.4775112)"
secondary,2,,70,,no,L 305,good,"LINESTRING (13.4089058 52.6620481, 13.409994 52.6618745)"
secondary,2,yes,50,Lietzenburger Straße,yes,,excellent,"LINESTRING (13.3165163 52.499475, 13.3167151 52.4995283)"
secondary,2,yes,50,Lietzenburger Straße,yes,,,"LINESTRING (13.3456166 52.5006224, 13.345502 52.5005683, 13.3453928 52.5005231, 13.3451592 52.500442, 13.3450693 52.5004166, 13.3449042 52.5003739, 13.3448205 52.5003529, 13.3446039 52.5003091, 13.3443152 52.5002645, 13.3440303 52.500233, 13.343845 52.5002175, 13.3428784 52.5001582)"
secondary,3,yes,50,Lewishamstraße,yes,,,"LINESTRING (13.3071494 52.5000976, 13.3071166 52.5001842, 13.3071075 52.5002044, 13.3070045 52.5004407, 13.3068823 52.5006945, 13.3068469 52.5007679, 13.3067945 52.5008491)"
secondary,3,yes,50,Kaiser-Friedrich-Straße,yes,,,"LINESTRING (13.3030795 52.5055249, 13.3030187 52.5056205, 13.3027652 52.5060342, 13.3027174 52.506116, 13.3025998 52.5063122)"
secondary,2,yes,30,Kaiser-Friedrich-Straße,yes,,,"LINESTRING (13.300248 52.5178996, 13.300324 52.5177947, 13.3003716 52.5177175, 13.3004042 52.5176393, 13.3004239 52.5175585, 13.3004802 52.5172587, 13.3004867 52.5172234, 13.3005088 52.5171025)"
primary,4,yes,50,Kaiserdamm,yes,B 2;B 5,good,"LINESTRING (13.2846701 52.5102611, 13.2846533 52.5102587, 13.2843053 52.5102375)"
secondary,1,yes,50,Neue Kantstraße,yes,,,"LINESTRING (13.2925241 52.5067784, 13.2913194 52.5067399, 13.2911339 52.506734, 13.2909923 52.5067294, 13.2901115 52.5067013)"
secondary,,yes,50,Giesebrechtstraße,,,,"LINESTRING (13.3118937 52.500425, 13.3118786 52.500492, 13.311859 52.5005665)"
secondary,2,yes,50,Olivaer Platz,yes,,good,"LINESTRING (13.3165209 52.4995564, 13.3163926 52.4995523, 13.3160866 52.4995488, 13.3159557 52.4995486, 13.3158128 52.4995572, 13.315603 52.4995816, 13.3148252 52.4996702, 13.3147206 52.4996834, 13.3140063 52.4997705, 13.313787 52.4997975, 13.3135784 52.4998511, 13.3135358 52.4998684, 13.313319 52.4999571)"
secondary,2,yes,50,Kronprinzessinnenweg,yes,,good,"LINESTRING (13.1753175 52.4198489, 13.1754132 52.4199475)"
secondary,1,yes,50,Kronprinzessinnenweg,yes,,,"LINESTRING (13.1800577 52.4219461, 13.1799749 52.4219633, 13.179779 52.4219383, 13.1795899 52.4219283)"
secondary,2,yes,50,Spanische Allee,,,,"LINESTRING (13.189662 52.4336877, 13.1897825 52.4336449, 13.1899153 52.4336083, 13.1901169 52.4335661, 13.1902443 52.4335522, 13.1903692 52.4335438, 13.190539 52.4335454, 13.190716 52.433551, 13.1914383 52.4336252, 13.1917115 52.4336533, 13.1919503 52.4336779)"
secondary,2,yes,50,Lindenthaler Allee,yes,,,"LINESTRING (13.2298993 52.4317381, 13.2298857 52.4318452, 13.229806 52.4324672, 13.2297827 52.4327739, 13.2297705 52.4330791, 13.2297905 52.433511, 13.2298202 52.4337641, 13.2298318 52.4338589, 13.2298536 52.4339745, 13.229894 52.4341892, 13.2299399 52.4343746, 13.2299973 52.4345673, 13.2300789 52.4347863, 13.2301454 52.4349489, 13.2302665 52.4352185, 13.2303712 52.4354124, 13.2304752 52.4355939, 13.2305372 52.4356887, 13.2306249 52.4358229, 13.2308275 52.4360984, 13.2311419 52.4364846, 13.2313715 52.4367385, 13.2314038 52.4367704, 13.2314807 52.4368457)"
primary,2,yes,50,Berliner Straße,yes,B 1,,"LINESTRING (13.2824296 52.4418714, 13.2822444 52.4418148, 13.2813992 52.4415525, 13.2812674 52.4415118, 13.2811551 52.4414766, 13.2787893 52.4407351, 13.2786797 52.4407008, 13.277695 52.4403939, 13.2773538 52.4402875, 13.2766251 52.4400604, 13.276145 52.4399107, 13.2760934 52.4398946, 13.2759839 52.4398605, 13.2757627 52.4397915, 13.2755915 52.4397382, 13.2737453 52.4391627, 13.2732301 52.4390021, 13.2721999 52.4386809, 13.2720356 52.4386297, 13.2719872 52.4386146, 13.271915 52.4385921)"
primary,4,yes,50,Berliner Straße,yes,B 1,,"LINESTRING (13.2826306 52.4417358, 13.2828347 52.4417909)"
primary,3,yes,50,Berliner Straße,yes,B 1,,"LINESTRING (13.2829331 52.4420173, 13.2827112 52.4419575)"
primary,2,yes,50,Kirchhainer Damm,yes,B 96,,"LINESTRING (13.409596 52.3873675, 13.4097154 52.3872698, 13.4097381 52.3872532)"
primary,3,yes,50,Königstraße,yes,B 1,good,"LINESTRING (13.1751766 52.4198956, 13.1753175 52.4198489)"
primary,2,yes,50,Potsdamer Chaussee,yes,B 1,,"LINESTRING (13.1956296 52.4204713, 13.1962991 52.4207238)"
primary,2,yes,50,Potsdamer Chaussee,yes,B 1,,"LINESTRING (13.1962772 52.4208703, 13.1956105 52.4206123)"
primary,2,yes,50,Potsdamer Chaussee,yes,B 1,,"LINESTRING (13.1956105 52.4206123, 13.1950749 52.4204167, 13.1945024 52.4202327, 13.1941681 52.4201325, 13.1939178 52.4200652, 13.1936723 52.4200003, 13.193353 52.4199164, 13.193087 52.4198588, 13.192808 52.4197959, 13.1925037 52.4197333)"
primary,3,yes,50,Königstraße,yes,B 1,good,"LINESTRING (13.1754132 52.4199475, 13.1752701 52.4199952)"
primary,4,yes,50,Potsdamer Straße,yes,B 1,,"LINESTRING (13.2605988 52.4351098, 13.2603946 52.4351448)"
secondary,3,yes,50,Bundesallee,yes,,,"LINESTRING (13.3291476 52.4811461, 13.329401 52.4814695)"
secondary,2,yes,50,Bundesallee,yes,,,"LINESTRING (13.3309767 52.485969, 13.3310143 52.4847206, 13.3310158 52.4844777, 13.3310018 52.4843157, 13.330918 52.4841473)"
secondary,2,yes,50,Bundesallee,yes,,,"LINESTRING (13.3311447 52.4840816, 13.3312285 52.4841462, 13.3312589 52.4843033, 13.3312726 52.48448, 13.3312703 52.484727, 13.3312487 52.4854763)"
secondary,1,yes,50,Bundesallee,yes,,,"LINESTRING (13.3308755 52.4849897, 13.3308887 52.4846824, 13.3308876 52.4844959)"
secondary,2,24/7,50,Wilmersdorfer Tunnel,yes,,,"LINESTRING (13.3309316 52.4875456, 13.3309496 52.4867584, 13.3309767 52.485969)"
secondary,2,24/7,50,Wilmersdorfer Tunnel,yes,,,"LINESTRING (13.3311097 52.4859616, 13.3310943 52.4867653, 13.3310839 52.4875668)"
secondary,2,yes,50,Bundesallee,yes,,,"LINESTRING (13.3310839 52.4875668, 13.3310573 52.4883423)"
secondary,2,yes,50,Bundesallee,yes,,,"LINESTRING (13.3308575 52.4892745, 13.3309054 52.4888721, 13.3309158 52.4883437)"
secondary,2,yes,50,Bundesallee,yes,,,"LINESTRING (13.3312178 52.4862406, 13.3311974 52.4865358, 13.3311897 52.4868615)"
secondary,1,yes,50,Bundesallee,yes,,,"LINESTRING (13.3308575 52.4892745, 13.3308101 52.488867, 13.3308012 52.4883461)"
secondary,3,24/7,50,Tunnel am Adenauerplatz,,,,"LINESTRING (13.3074749 52.4984232, 13.3071596 52.4993564, 13.3071534 52.4993795, 13.307024 52.499762, 13.306829 52.5002768, 13.3065627 52.5009099, 13.3064204 52.5011604)"
secondary,1,yes,50,Lewishamstraße,yes,,,"LINESTRING (13.3053464 52.5024397, 13.3052074 52.5027124)"
secondary,1,yes,50,Brandenburgische Straße,yes,,,"LINESTRING (13.3080075 52.4968951, 13.3079824 52.4968547, 13.3080784 52.4965722, 13.3080326 52.496545)"
secondary,3,yes,50,Brandenburgische Straße,,,,"LINESTRING (13.3080075 52.4968951, 13.3074749 52.4984232)"
secondary,,yes,50,Lewishamstraße,yes,,,"LINESTRING (13.3072024 52.4999336, 13.3071494 52.5000976)"
secondary,,yes,50,Brandenburgische Straße,yes,,,"LINESTRING (13.3068748 52.5000461, 13.3069319 52.4998942)"
secondary,1,yes,50,Lewishamstraße,yes,,,"LINESTRING (13.3050616 52.5026641, 13.3053464 52.5024397)"
secondary,3,yes,50,Lewishamstraße,,,,"LINESTRING (13.3064204 52.5011604, 13.3060038 52.5016951, 13.3053464 52.5024397)"
secondary,2,yes,50,Berliner Straße,yes,,good,"LINESTRING (13.3369944 52.4882843, 13.3368643 52.4882703, 13.3362667 52.4882061, 13.3355865 52.488106, 13.3353582 52.4880664, 13.3352884 52.4880556, 13.3350947 52.4880251, 13.3349877 52.4880071, 13.3348861 52.4879901, 13.334369 52.4879045, 13.3341655 52.4878675, 13.3332385 52.4876952, 13.3331298 52.4876742, 13.3329865 52.4876501, 13.3323017 52.4875309, 13.3321885 52.487522, 13.3317949 52.4874911, 13.3315546 52.4874578)"
