highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
secondary,3,yes,50,An der Putlitzbrücke,yes,,,"LINESTRING (13.3444438 52.5384835, 13.3444198 52.5384429, 13.3443478 52.5383245)"
secondary,2,yes,50,Alt-Moabit,yes,,good,"LINESTRING (13.3551897 52.5238581, 13.3550696 52.5238698, 13.3540374 52.5239973, 13.3539391 52.5240095, 13.3537574 52.5240323, 13.3529056 52.5241385, 13.3525079 52.5241885, 13.3523785 52.5242052)"
secondary,2,yes,50,Alt-Moabit,yes,,good,"LINESTRING (13.339814 52.5257573, 13.3396931 52.525789, 13.339496 52.5258127, 13.3394171 52.5258141, 13.3392814 52.5258101)"
primary,2,yes,50,Dorotheenstraße,,B 2,good,"LINESTRING (13.3769703 52.5177819, 13.3768338 52.5177583)"
secondary,2,yes,50,Altonaer Straße,yes,,good,"LINESTRING (13.3399087 52.5187747, 13.3400478 52.5187161, 13.3400717 52.518706, 13.3401026 52.5186932)"
secondary,3,yes,50,Lützowufer,yes,,,"LINESTRING (13.3529792 52.5054412, 13.3534703 52.5055614, 13.3536602 52.505615)"
secondary,2,yes,50,An der Putlitzbrücke,yes,,excellent,"LINESTRING (13.3438018 52.5362667, 13.3438088 52.5362933, 13.3439371 52.5367186, 13.3439957 52.5368908)"
secondary,2,yes,50,Amrumer Straße,yes,,intermediate,"LINESTRING (13.3495896 52.5421047, 13.3494637 52.5422526)"
primary,3,yes,50,Straße des 17. Juni,yes,B 2;B 5,good,"LINESTRING (13.349084 52.5146676, 13.3488803 52.5145871, 13.3486995 52.5145189, 13.348589 52.5144843, 13.3484799 52.5144594, 13.3484448 52.5144552)"
secondary,1,yes,50,Franklinstraße,yes,,,"LINESTRING (13.3285014 52.5218557, 13.3286016 52.5219867, 13.3286262 52.5220306)"
secondary,3,yes,50,Hardenbergstraße,yes,,good,"LINESTRING (13.3219224 52.5119005, 13.3219885 52.5118738, 13.3220572 52.51184, 13.3221221 52.5118037, 13.3221497 52.5117852)"
primary,3,yes,50,Bismarckstraße,yes,B 2;B 5,good,"LINESTRING (13.3207941 52.5127285, 13.3206936 52.5126743, 13.3206017 52.5126279, 13.3205699 52.5126153, 13.3205273 52.5126027, 13.3204891 52.5125959)"
secondary,3,yes,50,Masurenallee,yes,,,"LINESTRING (13.2772562 52.5073441, 13.2771702 52.5073748, 13.2771239 52.5073922, 13.277096 52.5074012, 13.2767478 52.5075258, 13.2752446 52.5080637, 13.274957 52.508168)"
secondary,3,yes,50,Messedamm,yes,,good,"LINESTRING (13.2817283 52.5079833, 13.2818316 52.508137, 13.2819019 52.508264, 13.2819548 52.5083928, 13.2819842 52.5084891, 13.2820007 52.5086119, 13.2820194 52.5088227, 13.2820115 52.5091535, 13.2819546 52.5093467)"
secondary,2,yes,50,Luxemburger Straße,yes,,good,"LINESTRING (13.3509357 52.5425736, 13.3512073 52.5426604, 13.3525293 52.5430828, 13.3527335 52.5431527, 13.3537062 52.5435064, 13.3545848 52.543842, 13.3547637 52.5439104, 13.3548157 52.5439321, 13.3548504 52.5439466)"
primary,2,yes,50,Hallesches Ufer,yes,B 96,excellent,"LINESTRING (13.3887889 52.4981144, 13.3886361 52.4981475, 13.3882493 52.4982389, 13.387488 52.49842, 13.386454 52.4986702, 13.3855705 52.4988921, 13.3854972 52.4989098, 13.3853224 52.4989541)"
